steps,heart_rate_avg,max_heart,min_heart,raw_intensity_avg,hour,rate
2379,85.88,116,68,62.7667,19,0
1457,86.62,112,61,59.8333,20,0
0,84.31,98,66,31.1034,21,1
45,79.57,111,59,45.3214,7,0
1536,90.15,119,65,66.7167,8,0
2758,97.71,125,79,66.5254,9,0
77,82.58,102,71,31.2333,10,0
83,78.54,101,61,32.0678,11,0
149,82.38,104,62,27.4,12,0
205,81.35,113,61,33.1,13,0
210,81.02,105,61,31.5833,14,0
28,78.15,95,61,28.55,15,1
619,82.05,99,64,54.8103,16,0
17,82.24,103,61,38.4746,17,0
1131,88.56,114,66,60.4407,18,0
585,88.57,113,65,57.1786,19,0
900,89.52,119,72,63.1964,20,0
485,86.39,110,66,64.75,21,0
42,82.6,98,73,49.3,7,0
33,80.15,93,65,35.3,8,1
32,79.69,98,62,38.8276,9,0
35,79.59,110,58,32.0357,10,1
7,76.67,100,60,31.3158,11,1
1093,82.49,104,60,55.9153,12,0
443,90.33,117,69,82.8889,13,2
912,84.78,113,64,73.0545,14,0
490,81.2,106,67,47.8167,15,0
0,81.76,108,70,29.9153,16,1
18,78.68,109,64,24.75,17,1
7,73.05,108,65,17.4333,18,0
2087,80.12,109,63,69.431,19,0
4853,93.88,117,70,101.867,20,0
25,77.2,112,61,36.5167,21,0
49,80,94,69,51.2609,9,2
23,76.87,97,57,33.2333,10,1
35,78.95,102,62,31.9333,11,0
58,76.78,93,60,37.7833,12,1
31,76,109,58,34.5833,13,0
0,74.77,97,61,32.95,14,1
422,80.53,110,59,47.7414,15,0
148,83.7,118,69,46.35,16,0
36,81.57,97,63,36.4833,17,0
9,79.27,109,62,33.7119,18,0
73,74.93,109,64,38.4,19,0
240,79.71,106,64,45.0678,20,0
208,80.52,98,74,53.84,21,0
874,82.79,103,62,46.569,7,0
267,87.9,114,66,36.2069,8,0
8,83.2,99,63,26.0678,9,1
325,80.34,108,58,38.4483,10,0
180,79.47,108,59,34.8,11,0
1149,82.49,106,67,45.4068,12,0
0,89,89,89,94,13,2
981,86.28,116,64,45.45,14,0
209,76.43,113,58,27.1167,15,0
1377,79.17,104,56,53.9322,16,0
1395,81.78,113,62,56.8,17,0
273,77.17,111,58,41.75,18,0
14,77.28,93,61,26.8793,19,1
2173,86.1,118,57,69.3833,20,0
243,79.25,100,62,49.0877,21,1
177,74.09,112,64,26.2,8,0
424,83.08,115,61,49.9333,9,1
545,81.05,107,67,48.1333,10,0
158,76.78,104,58,42.7,11,1
440,85.1,108,64,56.8814,12,1
83,81.97,102,63,45.2333,13,0
32,74.32,118,59,32.8833,14,0
197,80.07,105,61,43.4915,15,0
1941,85.57,116,65,65.15,16,0
3319,87.65,116,64,80.3833,17,0
92,79.55,97,60,34.45,18,1
12,73.98,111,58,24.4737,19,1
78,77.36,108,53,35.9831,20,0
34,74.56,100,60,28.4576,21,0
79,81.51,94,73,27.1707,11,1
352,83.28,103,67,55.0333,12,0
738,91.18,119,75,86.3667,13,0
1016,90.68,119,69,102.068,14,0
325,86.08,109,63,63.9,15,1
225,85.37,114,65,49.0167,16,0
243,86,104,73,61.6667,17,0
53,79.75,114,64,42.9322,18,0
147,85.97,114,64,57.5,19,0
158,81.36,104,65,30.661,20,0
116,78.93,108,61,29.0508,21,0
168,80.53,118,61,35.275,11,0
4885,95.6,120,71,107.583,12,0
139,83.78,111,65,44.3833,13,0
79,78.85,103,61,39.3167,14,0
54,77.8,109,57,37.35,15,0
81,84.02,112,64,46.85,16,0
1118,82.54,104,65,52.1695,17,1
4016,90.05,121,62,91.1,18,0
34,83.63,98,62,28.6667,19,0
16,82.3,106,59,32.1667,20,0
3,73.75,78,71,41.75,21,2
0,62.07,69,57,1.65,7,0
309,81.85,118,60,37.3,8,0
72,80.63,102,50,35.614,9,1
270,84.57,114,61,50.4655,10,0
134,79.52,104,59,33.0333,11,1
37,79.14,103,62,28.1207,12,0
164,81.58,111,63,43.6667,13,0
418,81.77,107,64,51.8833,14,0
224,80.28,106,63,41.85,15,0
87,83.19,120,63,36.7069,16,0
57,74.27,103,59,32.25,17,0
3922,92.78,114,71,97.8167,18,0
499,82.9,110,62,47.8667,19,0
37,87.79,110,70,54.697,20,1
0,80,80,80,0,7,2
0,80,80,80,0,8,2
37,80,80,80,13.8667,9,2
101,80,80,80,40.2167,10,2
398,82,90,80,53.5167,11,2
84,91.32,112,80,18.7833,12,2
2070,101,112,80,57.1167,13,2
1580,84.86,96,80,48.5,14,2
35,87.68,112,80,19.5833,15,2
291,108.49,122,80,27.1,16,2
1429,88,96,80,62.1667,17,2
241,88.04,106,80,35.7667,18,2
877,96.04,122,80,37.0833,19,2
192,81.72,109,71,28.9167,20,2
659,76.52,94,68,42.35,21,0
32,103.31,112,87,44.6923,7,1
728,85.23,101,76,53.7069,8,0
687,85.3,108,71,29.1333,9,0
1098,77,95,63,39.5,10,0
150,73.97,83,67,40.5167,11,0
235,73.78,92,67,36.9667,12,0
1494,75.48,90,66,61.7,13,0
857,89.76,108,73,57.6441,14,0
50,80.37,93,72,37.1833,15,1
77,77.65,93,67,34.9167,16,0
496,81.3,94,70,45.05,17,0
700,77.25,94,68,49.7833,18,0
908,75.68,101,63,35.1667,19,0
1619,84,102,67,47.2,20,0
1214,74.97,101,61,45.4167,21,0
89,77.98,90,66,23.4082,10,0
378,92.37,103,70,59.5849,11,1
230,83.7,92,76,37.6,12,2
89,75.58,81,71,28.2833,13,0
1191,92.2,119,79,61.4,14,0
26,96.12,115,89,30.9833,15,0
894,95.3,108,83,55.35,16,0
354,85.48,98,74,39.25,17,0
97,75.57,82,71,32.3833,18,0
409,77.85,86,71,34.6667,19,0
4154,98.72,109,80,85.5667,20,0
306,75.88,87,66,24.0167,21,0
318,70.27,86,60,47.4242,7,0
251,83.2,96,76,39.25,8,0
179,83.14,93,75,31.2955,9,2
169,83.95,98,71,36.85,10,0
115,79.78,88,75,35.3167,11,0
122,80.82,106,76,41.95,12,0
2108,97.88,106,92,76.45,13,1
112,87.38,95,75,50.75,14,0
102,70.98,81,60,33.1667,15,0
142,70.85,78,68,21.6,16,0
219,82.47,98,72,53.75,17,0
688,78.77,98,70,34.5,18,0
1618,87.52,102,76,55.6333,19,0
455,87.18,107,71,41.2182,20,0
0,80,80,80,14,21,2
132,87.33,99,68,52.0652,10,1
173,96.72,104,90,51.2833,11,0
1884,111.78,123,98,74.6833,12,0
959,108.22,119,97,69.75,13,0
676,86.65,102,72,46.9636,14,0
289,81.17,94,71,47.0625,15,0
4007,100.03,109,85,88.8333,16,0
860,114.8,131,99,73.2,17,1
3205,121.17,133,110,84.9,18,0
811,97.92,111,86,66.9,19,1
77,95.75,107,89,44.65,20,0
326,92.87,101,79,45.4167,21,0
0,78.58,86,73,12.0833,9,2
22,73.22,80,67,15.8,10,0
121,76.27,86,71,25.3667,11,0
801,74.88,88,67,35.35,12,0
278,78.92,90,70,28.8983,13,0
1322,86.13,105,68,52.9833,14,0
220,80.85,88,73,35.9333,15,0
175,71.05,85,60,27.2833,16,0
155,70.38,90,55,30.55,17,0
475,79.15,91,67,43.1667,18,0
318,87.2,96,80,53.7333,19,0
15,66.75,77,59,12.8333,20,0
229,77.97,90,68,39.3667,21,0
29,79.41,85,73,41.4706,8,2
56,83.88,101,72,34.8868,9,2
196,89.07,106,82,35.3966,10,0
659,88.02,100,73,50.95,11,0
777,77.98,91,68,35.25,12,0
21,73.77,85,66,24.6667,13,0
140,68.87,78,65,26.1167,14,0
406,68.53,78,63,31.3,15,0
0,68.8,74,63,18.45,16,0
1011,75.58,88,68,42.5,17,0
1925,86.33,104,73,58.098,18,0
0,73.5,75,72,68.5,20,2
3887,92.62,107,78,79.1833,21,0
92,83.7,103,76,43.5116,9,0
90,86.12,102,70,39.0333,10,0
251,98.1,116,80,54.1923,11,2
89,89.98,103,73,45.1304,12,2
1792,96.82,109,76,53.9167,13,0
981,99.17,119,85,39.4833,14,0
1310,93.05,107,84,49.25,15,0
474,91.37,103,82,45.55,16,0
658,97.85,103,92,59.45,17,0
659,90.83,100,81,56.3333,18,0
244,83.7,96,75,37.2667,19,0
0,82.7,92,79,24.6667,20,0
125,83.8,97,75,30.6167,21,0
0,80,80,80,0,8,2
118,97.2,109,85,39.7451,9,0
441,97.05,104,89,53.5667,10,1
115,90.33,97,86,42.7333,11,0
1898,100.17,113,85,53.9,12,0
1597,89.49,104,83,39.9492,13,0
0,80,80,80,0,14,2
87,82.31,92,74,52.2308,10,2
35,90.07,112,79,26.4333,11,0
156,97.36,104,90,48.1923,12,0
698,102.07,119,96,60.5254,13,0
313,98.27,117,85,39.0167,14,0
1304,100.31,114,84,54.3729,15,2
28,83.92,100,78,21.8,16,1
1493,91.73,104,78,51.5333,17,0
107,80.98,94,72,24.7833,18,0
23,74.18,78,71,16.7667,19,1
327,82.92,99,68,35.4333,20,0
98,76.56,89,72,33.4,21,0
38,83.1,99,75,17.975,10,0
153,85.65,101,75,31.7021,11,2
983,91.31,104,78,47.9464,12,2
1262,89.18,106,71,45.05,13,0
593,80.63,92,71,37.65,14,0
83,71.63,82,67,22.7167,15,0
262,81.33,97,66,36.95,16,0
60,69.17,75,66,15.0833,17,0
44,71.07,81,65,18.4667,18,0
434,79.45,94,68,28.0833,19,0
38,73.27,78,70,20.1667,20,0
16,73.45,81,70,20.1,21,0
551,95.24,107,67,64.4412,7,0
1633,97.44,121,77,43.2542,8,0
1244,87.22,102,75,49.45,9,0
101,79.3,90,70,38.5333,10,0
79,70.78,76,67,39.0667,11,1
2778,81.28,97,69,75.9833,12,0
290,86.93,100,78,40.7833,13,0
1441,92.63,114,75,49.0333,14,0
1183,89.23,110,72,50.2,15,0
382,81.15,91,72,35.0333,16,1
301,84.93,97,73,39.7833,17,0
630,89.32,97,78,44.4167,18,0
64,72.02,83,66,23.3333,19,0
0,70.35,75,65,15.9333,20,0
572,77.72,97,64,37,21,0
132,81.85,86,70,46.0741,9,2
155,75.23,92,66,24.7193,10,0
152,69.82,77,65,28.65,11,0
65,64.88,76,60,24.1167,12,0
510,85.29,100,72,39.8983,13,0
587,84.38,98,74,51.3833,14,0
304,84.33,101,73,39.9667,15,0
411,91.28,105,83,47.8833,16,1
1254,90.53,104,81,49.9322,17,0
168,90.08,106,80,40.9333,18,0
54,76.5,87,70,26.65,19,0
0,72.19,78,68,24.2881,20,0
46,71.5,75,69,43.3333,21,2
0,70,70,70,31,7,2
0,80,80,80,0,8,2
589,90.43,111,66,61.4839,9,2
2367,105.53,114,89,60.5667,10,0
1776,99.45,115,85,57.8667,11,0
258,103.85,118,83,60.1,12,0
340,83.67,94,77,45.1833,13,0
108,83.03,90,75,37.2333,14,0
163,85.83,92,73,38.6167,15,0
1033,97.18,110,85,52.4,16,0
487,95.94,101,92,72.5294,17,2
0,80,80,80,8,21,2
764,107.18,120,90,62.5,10,2
429,96.35,107,81,55.75,11,0
235,78.04,96,70,45.38,12,2
1841,95.18,105,85,70.7667,13,0
60,76.05,90,68,34.9,14,0
313,79.28,91,68,54.65,15,0
392,86.6,104,75,40.8,16,0
318,84.67,96,78,36.2289,17,0
2968,89.22,100,77,51.8167,18,0
1644,110.24,133,92,53.3067,19,2
1066,97.33,113,82,58.5741,20,2
227,82.56,89,79,44.2143,21,2
124,83.4,91,65,41.383,10,0
85,89.1,98,81,50.6667,11,0
129,87.17,94,81,48.3167,12,0
289,85.02,101,73,43.1667,13,0
249,80.13,93,72,47.4167,14,0
